Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
VLID3;VALID;0,26;0,18;0,25;0,12;0,15;0,36;0,22;0,84;1,65;0,65;5,75;1,13;0,85;2,85;2,99;3,79;-16,04;0,68;1,93;3,93;3,19;0,88;3,11;2,96;0,71;0,07
ELMD3;ELETROMIDIA;0,24;0,11;0,12;0,04;0,09;0,50;0,26;0,47;2,60;1,60;25,64;2,75;2,32;12,75;31,44;8,84;-2,07;1,06;9,95;11,90;8,13;3,12;42,33;17,17;1,42;0,00
LAND3;TERRASANTAPA;0,04;0,04;0,04;0,03;0,36;0,93;0,63;0,08;1,30;0,30;47,37;1,80;17,03;53,88;55,49;26,99;-4,95;1,38;-27,87;28,40;26,37;17,93;58,40;56,70;1,46;0,01
MRVE3;MRV;0,01;0,01;-0,08;-0,02;-0,06;0,25;0,03;0,35;4,07;3,07;-8,59;0,62;0,51;-4,64;-3,65;19,49;-0,28;0,15;0,75;56,28;32,93;1,48;-10,54;-13,39;0,44;0,00
MTRE3;MITRE REALTY;0,03;0,03;0,03;0,01;0,03;0,21;0,06;0,50;2,10;1,10;13,68;0,40;0,36;4,99;3,62;5,67;36,95;0,19;0,36;10,69;8,61;0,68;6,83;9,40;0,36;0,05
MDNE3;MOURA DUBEUX;0,05;0,11;0,16;0,06;0,15;0,35;0,16;0,42;2,48;1,48;6,48;0,87;0,99;-9,42;-7,33;6,18;-1,05;0,35;1,35;6,73;6,43;1,08;-7,98;-10,26;0,38;0,00
CPLE3;COPEL;0,07;0,07;0,11;0,04;0,11;0,22;0,16;0,41;2,29;1,29;11,45;1,07;1,21;6,75;7,02;7,33;-1,01;0,47;4,73;10,37;7,45;1,71;9,93;9,55;0,66;0,02
SLCE3;SLC AGRICOLA;0,08;0,11;0,11;0,04;0,07;0,27;0,18;0,52;3,17;2,17;13,46;1,55;0,94;4,59;6,88;5,10;-0,95;0,49;2,88;7,98;6,85;1,48;10,75;7,18;0,77;0,05
LEVE3;METAL LEVE;0,33;0,31;0,46;0,22;0,15;0,29;0,19;1,42;3,21;2,21;6,23;4,13;0,96;5,77;6,65;5,04;-3,47;1,29;4,05;6,02;5,35;1,14;7,94;6,89;1,54;0,26
WEGE3;WEG;0,32;0,34;0,38;0,20;0,17;0,33;0,20;1,17;1,94;0,94;40,50;12,23;6,95;33,75;43,14;34,82;-32,15;6,30;21,85;34,46;31,31;6,88;42,70;33,40;6,24;0,01
AURE3;AUREN;0,04;0,05;-0,03;-0,01;-0,06;0,21;0,20;0,19;2,38;1,38;-26,75;0,84;1,67;14,56;-14,58;8,19;-0,82;0,35;2,38;10,82;7,15;2,21;-19,27;19,24;0,47;0,18
CYRE3;CYRELA REALT;0,07;0,08;0,17;0,08;0,19;0,33;0,21;0,40;2,15;1,15;6,77;1,03;1,29;-24,82;-18,85;6,07;-3,08;0,48;1,26;9,59;9,15;2,04;-29,78;-39,21;0,76;0,04
NEOE3;NEOENERGIA;0,10;0,10;0,16;0,05;0,10;0,26;0,22;0,46;3,34;2,34;5,25;0,74;0,52;9,04;11,24;2,38;-0,34;0,22;4,80;6,61;5,16;1,46;31,26;25,15;0,62;0,04
FIQE3;UNIFIQUE;0,24;0,15;0,16;0,08;0,17;0,48;0,26;0,48;1,98;0,98;8,32;1,24;1,44;3,00;4,86;5,62;-1,70;0,63;4,94;5,75;2,97;1,48;4,97;3,07;0,64;0,06
CPFE3;CPFL ENERGIA;0,16;0,19;0,31;0,08;0,14;0,34;0,26;0,56;3,86;2,86;6,89;1,97;0,93;5,61;6,23;3,54;-0,69;0,51;-296,79;5,89;4,99;1,56;10,38;9,35;0,85;0,08
HYPE3;HYPERA;0,21;0,09;0,15;0,07;0,21;0,62;0,31;0,34;2,11;1,11;9,71;1,37;2,05;6,27;7,34;6,53;-1,76;0,65;4,07;9,45;8,55;2,97;10,63;9,07;0,94;0,05
VALE3;VALE;0,15;0,20;0,26;0,11;0,23;0,41;0,33;0,48;2,34;1,34;5,66;1,34;1,31;4,47;9,14;3,94;-1,02;0,57;45,59;4,62;3,77;1,54;10,73;5,25;0,67;0,12
SYNE3;SYN PROP TEC;0,15;0,24;0,31;0,12;0,33;0,44;0,60;0,35;2,26;1,26;2,67;0,63;0,89;5,85;5,85;1,48;-1,27;0,28;0,83;1,23;1,11;0,74;4,85;4,85;0,23;0,35
TAEE3;TAESA;0,10;0,11;0,23;0,08;0,42;0,63;0,69;0,19;2,93;1,93;7,77;1,77;3,30;8,23;8,50;4,81;-1,04;0,60;7,61;8,47;8,40;5,80;14,97;14,49;1,06;0,10
EGIE3;ENGIE BRASIL;0,19;0,23;0,52;0,11;0,41;0,55;0,72;0,26;4,20;3,20;7,71;3,04;3,17;7,78;-80,25;4,40;-0,99;0,73;27,38;6,62;5,87;4,77;-120,88;11,72;1,09;0,06
HBRE3;HBR REALTY;0,07;0,09;0,06;0,03;0,70;0,80;2,66;0,04;2,40;1,40;4,39;0,24;3,08;-1,61;-1,48;1,16;-0,19;0,10;1,89;4,61;4,57;12,28;-5,89;-6,42;0,39;0,00
TAEE4;TAESA;0,10;0,11;0,23;0,08;0,42;0,63;0,69;0,19;2,93;1,93;7,84;1,79;3,33;8,31;8,58;4,85;-1,05;0,61;7,68;8,47;8,40;5,80;14,97;14,49;1,06;0,10
COCE5;COELCE;0,11;0,09;0,09;0,03;0,04;0,20;0,16;0,60;2,72;1,72;5,80;0,42;0,26;2,07;-21,06;1,61;-0,19;0,15;-0,82;5,70;3,93;0,92;-74,62;7,32;0,55;0,07
CPLE6;COPEL;0,07;0,07;0,11;0,04;0,11;0,22;0,16;0,41;2,29;1,29;12,78;1,20;1,35;7,53;7,84;8,18;-1,13;0,52;5,28;10,37;7,45;1,71;9,93;9,55;0,66;0,05
DMVF3;D1000VFARMA;0,08;0,05;0,03;0,02;0,01;0,32;0,03;1,28;1,87;0,87;12,07;0,37;0,17;2,08;3,28;5,34;-0,47;0,20;4,79;4,92;1,75;0,16;3,02;1,91;0,18;0,00
BEEF3;MINERVA;0,15;0,14;0,17;0,00;0,00;0,21;0,08;1,41;52,05;51,05;46,77;4,94;0,12;0,78;0,95;1,54;-0,16;0,09;0,26;11,55;9,22;0,88;7,10;5,85;0,71;0,00
JHSF3;JHSF PART;0,07;0,09;0,11;0,05;0,37;0,61;0,66;0,15;2,34;1,34;5,27;0,59;1,93;30,92;-23,52;2,93;-0,63;0,25;1,50;5,93;5,57;3,91;-47,50;62,45;0,51;0,07
MRFG3;MARFRIG;0,03;0,04;0,01;0,00;0,00;0,12;0,03;1,08;24,52;23,52;326,38;2,20;0,09;0,94;1,09;3,13;-0,10;0,09;1,07;17,17;6,28;0,50;5,97;5,19;0,49;0,00
SBFG3;GRUPO SBF;0,08;0,08;0,20;0,06;0,07;0,48;0,09;0,88;2,89;1,89;7,06;1,15;0,46;3,15;3,42;5,24;-0,94;0,40;1,71;8,99;5,42;0,79;5,87;5,41;0,68;0,01
JSLG3;JSL;0,11;0,12;0,16;0,03;0,03;0,18;0,15;0,86;7,06;6,06;8,39;1,20;0,26;-1,10;-1,04;1,79;-0,24;0,17;1,12;8,33;5,80;1,21;-4,84;-5,11;0,79;0,04
CMIG3;CEMIG;0,17;0,15;0,25;0,11;0,16;0,23;0,20;0,69;2,13;1,13;6,82;1,52;1,07;5,96;6,99;5,41;-1,33;0,72;-71,95;5,97;5,07;1,18;7,71;6,57;0,79;0,12
CSMG3;COPASA;0,22;0,12;0,19;0,11;0,19;0,43;0,26;0,57;1,88;0,88;5,72;1,10;1,09;4,37;4,55;4,17;-1,31;0,59;33,41;6,49;4,67;1,70;7,08;6,81;0,91;0,16
CMIG4;CEMIG;0,17;0,15;0,25;0,11;0,16;0,23;0,20;0,69;2,13;1,13;5,33;1,19;0,84;4,66;5,47;4,23;-1,04;0,56;-56,24;5,97;5,07;1,18;7,71;6,57;0,79;0,15
SIMH3;SIMPAR;0,07;0,08;-0,15;-0,01;-0,01;0,25;0,15;0,60;24,19;23,19;-9,29;1,39;0,12;-0,74;-0,61;0,84;-0,07;0,06;0,62;10,25;6,16;1,49;-7,40;-9,07;0,70;0,00
AERI3;AERIS;0,04;0,04;-0,19;-0,05;-0,07;0,10;0,05;0,72;3,34;2,34;-2,53;0,36;0,17;54,14;-26,31;3,56;-0,23;0,11;0,48;8,64;5,25;0,42;-63,79;131,26;0,26;0,00
ASAI3;ASSAI;0,15;0,19;0,16;0,02;0,01;0,16;0,05;1,76;9,13;8,13;14,35;1,98;0,14;2,46;7,48;2,64;-0,23;0,22;-3,09;6,13;4,26;0,31;17,36;5,72;0,50;0,00
ROMI3;ROMI;0,06;0,06;0,13;0,06;0,12;0,29;0,12;0,51;1,98;0,98;6,84;0,83;0,85;4,31;5,84;7,06;-2,31;0,42;1,33;10,30;7,34;1,24;8,52;6,29;0,61;0,07
POSI3;POSITIVO TEC;0,15;0,15;0,21;0,07;0,07;0,26;0,12;1,11;2,66;1,66;3,01;0,52;0,20;1,35;1,40;1,64;-0,68;0,19;0,58;2,99;2,69;0,37;2,55;2,47;0,35;0,07
MOVI3;MOVIDA;0,05;0,06;-0,18;-0,03;-0,05;0,25;0,13;0,55;11,06;10,06;-3,77;0,85;0,18;-0,66;-0,62;1,40;-0,08;0,08;-6,38;12,79;4,91;1,67;-5,66;-6,03;0,70;0,00
RANI3;IRANI;0,07;0,08;0,12;0,04;0,10;0,40;0,20;0,42;2,80;1,80;11,50;1,40;1,12;5,05;13,61;5,45;-1,18;0,50;2,29;8,79;5,97;1,80;21,95;8,15;0,81;0,08
MELK3;MELNICK;0,02;0,02;0,06;0,03;0,07;0,20;0,05;0,43;2,10;1,10;10,93;0,63;0,72;4,99;5,08;13,67;14,93;0,30;0,55;19,61;18,07;1,03;7,29;7,16;0,43;0,08
MYPK3;IOCHP-MAXION;0,08;0,07;0,02;0,01;0,01;0,11;0,06;1,02;3,72;2,72;21,86;0,40;0,11;0,93;1,36;1,95;-0,20;0,11;0,59;6,84;4,39;0,39;4,75;3,26;0,38;0,02
DESK3;DESKTOP;0,15;0,11;0,08;0,04;0,10;0,63;0,33;0,37;2,46;1,46;14,82;1,18;1,44;5,06;-134,52;4,38;-0,80;0,48;-1623,59;7,11;4,61;2,34;-218,33;8,20;0,77;0,00
PNVL3;DIMED;0,05;0,05;0,08;0,03;0,02;0,31;0,03;1,69;2,69;1,69;16,71;1,30;0,32;4,75;6,94;9,42;-1,19;0,49;2,20;16,20;7,17;0,56;11,94;8,17;0,83;0,03
MEAL3;IMC S/A;0,05;0,04;-0,06;-0,02;-0,03;0,34;0,04;0,86;2,54;1,54;-6,00;0,37;0,17;4,65;-7,66;4,60;-0,24;0,15;-57,61;8,74;2,14;0,33;-14,55;8,83;0,28;0,00
QUAL3;QUALICORP;0,07;0,02;-0,06;-0,02;-0,05;0,80;0,04;0,36;3,32;2,32;-7,56;0,48;0,38;1,63;1,64;8,76;-0,22;0,14;4,65;30,25;4,04;1,30;5,68;5,62;0,50;0,00
RADL3;RAIADROGASIL;0,16;0,19;0,19;0,06;0,03;0,30;0,06;2,05;3,35;2,35;41,90;7,05;1,20;26,05;97,82;19,91;-4,15;2,10;10,75;21,31;11,87;1,28;104,67;27,87;2,25;0,01
CAML3;CAMIL;0,09;0,08;0,15;0,04;0,04;0,21;0,07;1,12;3,51;2,51;6,43;0,84;0,24;222,58;-10,20;3,67;-0,62;0,24;0,71;8,64;6,47;0,57;-23,99;523,46;0,56;0,04
PTBL3;PORTOBELLO;0,06;0,09;-0,04;0,00;-0,01;0,38;0,08;0,74;8,56;7,56;-46,31;1,67;0,29;4,45;25,50;3,76;-0,21;0,19;-3,82;9,79;5,07;0,74;66,34;11,58;0,51;0,00
PLPL3;PLANOEPLANO;0,18;0,26;0,57;0,16;0,12;0,33;0,15;1,27;2,87;1,87;9,79;4,02;1,21;7,64;8,49;7,92;-18,17;1,40;2,44;8,32;7,87;1,27;8,92;8,03;1,47;0,04
RAIL3;RUMO S.A.;0,05;0,05;-0,06;-0,02;-0,07;0,43;0,17;0,27;3,44;2,44;-40,26;2,52;2,88;5,47;15,17;16,89;-1,26;0,73;5,71;22,32;6,79;3,81;20,05;7,23;0,97;0,00
EQTL3;EQUATORIAL;0,11;0,09;0,12;0,02;0,05;0,31;0,19;0,44;4,68;3,68;18,70;1,82;0,97;19,73;-6,22;5,17;-0,56;0,39;4,22;10,85;8,64;2,04;-13,06;41,45;0,82;0,01
KEPL3;KEPLER WEBER;0,41;0,37;0,37;0,20;0,15;0,30;0,20;1,32;2,06;1,06;6,68;2,26;1,03;5,15;6,20;5,20;-7,50;1,10;2,99;4,77;4,26;0,95;5,69;4,73;1,01;0,09
JALL3;JALLESMACHAD;0,06;0,07;0,02;0,01;0,02;0,32;0,24;0,30;3,48;2,48;56,51;0,91;1,01;2,31;7,09;4,13;-0,56;0,26;1,04;10,96;3,40;2,67;18,81;6,12;0,69;0,01
AZUL4;AZUL;0,35;0,83;0,33;-0,38;-0,35;0,22;0,13;1,09;-0,87;-1,87;-1,18;-0,29;0,41;2,64;3,65;3,16;-0,13;0,34;-0,62;15,10;7,55;1,97;17,45;12,60;1,61;0,00
SHUL4;SCHULZ;0,10;0,10;0,23;0,12;0,14;0,25;0,15;0,83;1,90;0,90;8,15;1,62;1,15;4,54;5,33;7,64;-51,47;0,85;1,86;21,79;17,66;3,29;15,19;12,95;2,43;0,07
GOLL4;GOL;0,93;-0,22;0,12;-0,15;-0,14;0,32;0,15;1,12;-0,94;-1,94;-1,41;-0,15;0,19;-8,52;-2,42;1,27;-0,06;0,16;-0,23;7,28;4,55;1,11;-13,88;-48,88;0,94;0,00
TRPL4;TRAN PAULIST;0,08;0,10;0,15;0,08;0,39;0,53;0,55;0,20;2,07;1,07;6,03;0,87;2,36;35,71;38,66;4,30;-1,04;0,42;3,56;7,88;7,82;4,33;70,85;65,44;0,77;0,09
USIM3;USIMINAS;0,01;0,01;0,02;0,01;0,02;0,04;0,01;0,66;1,67;0,67;13,97;0,32;0,29;2,60;8,00;32,30;-2,12;0,19;0,61;39,36;6,58;0,35;9,75;3,17;0,23;0,04
PFRM3;PROFARMA;0,09;0,09;0,08;0,02;0,01;0,15;0,03;1,96;3,83;2,83;8,11;0,57;0,08;1,29;1,51;2,56;-0,29;0,15;0,69;5,27;3,40;0,17;3,10;2,65;0,31;0,07
ANIM3;ANIMA;0,13;0,06;-0,04;-0,01;-0,03;0,62;0,18;0,38;4,01;3,01;-9,94;0,41;0,26;1,76;1,94;1,47;-0,15;0,10;1,15;8,68;4,90;1,55;11,45;10,36;0,60;0,19
USIM5;USIMINAS;0,01;0,01;0,02;0,01;0,02;0,04;0,01;0,66;1,67;0,67;14,18;0,32;0,29;2,64;8,12;32,79;-2,16;0,19;0,62;39,36;6,58;0,35;9,75;3,17;0,23;0,09
PGMN3;PAGUE MENOS;0,09;0,09;0,04;0,01;0,01;0,32;0,04;1,39;3,25;2,25;16,65;0,63;0,14;5,76;8,37;3,28;-0,37;0,19;1,21;5,95;2,97;0,26;15,20;10,46;0,35;0,10
TTEN3;3TENTOS;0,15;0,15;0,24;0,11;0,06;0,19;0,08;1,74;2,37;1,37;7,53;1,46;0,48;5,36;9,98;6,13;-2,00;0,61;2,27;6,75;6,17;0,53;10,97;5,89;0,68;0,01
LREN3;LOJAS RENNER;0,07;0,08;0,12;0,06;0,08;0,61;0,08;0,69;1,87;0,87;15,62;1,75;1,31;6,05;8,46;16,06;-4,01;0,94;4,06;15,54;7,55;1,26;8,18;5,86;0,91;0,03
EVEN3;EVEN;0,05;0,08;0,13;0,04;0,08;0,22;0,10;0,50;2,94;1,94;4,84;0,67;0,38;-2,21;-2,10;3,69;-2,79;0,23;0,39;7,66;7,50;0,79;-4,35;-4,60;0,47;0,12
LOGN3;LOG-IN;0,08;0,10;0,02;0,01;0,01;0,16;0,12;0,75;3,95;2,95;159,36;3,46;1,29;4,63;14,76;10,49;-1,27;0,88;15,44;15,02;8,44;1,84;21,13;6,62;1,25;0,00
COGN3;COGNA ON;0,06;0,03;-0,04;-0,02;-0,08;0,66;0,13;0,24;2,06;1,06;-4,97;0,22;0,42;4,43;5,65;3,27;-0,25;0,11;1,28;11,97;6,49;1,54;20,67;16,21;0,39;0,00
KLBN3;KLABIN S/A;0,06;0,07;0,14;0,03;0,09;0,33;0,19;0,37;6,11;5,11;15,91;2,71;1,40;2,92;3,97;7,29;-0,72;0,44;2,03;14,18;6,94;2,72;7,73;5,67;0,86;0,06
CSAN3;COSAN;0,09;0,12;0,15;0,02;0,07;0,30;0,28;0,30;7,25;6,25;8,46;1,12;0,55;1,94;4,65;2,00;-0,20;0,15;1,50;6,63;4,26;1,83;15,43;6,42;0,51;0,04
CMIN3;CSNMINERACAO;0,40;0,41;0,44;0,18;0,26;0,51;0,35;0,69;2,63;1,63;7,05;2,77;1,80;4,14;5,10;5,12;-3,10;1,06;3,78;4,67;3,97;1,65;4,65;3,77;0,96;0,09
KLBN4;KLABIN S/A;0,06;0,07;0,14;0,03;0,09;0,33;0,19;0,37;6,11;5,11;15,84;2,70;1,39;2,90;3,95;7,26;-0,72;0,44;2,02;14,18;6,94;2,72;7,73;5,67;0,86;0,06
NTCO3;GRUPO NATURA;0,00;0,00;0,12;0,05;0,10;0,64;0,00;0,53;1,83;0,83;8,00;0,92;0,77;-7,24;-6,71;342,24;-1,46;0,50;4,60;411,43;15,61;0,92;-8,07;-8,71;0,61;0,05
VVEO3;VIVEO;0,08;0,05;0,08;0,02;0,02;0,14;0,03;1,27;3,23;2,23;3,53;0,20;0,06;-2,37;-1,55;1,66;-0,18;0,06;0,18;9,82;5,69;0,33;-9,18;-14,04;0,36;0,07
