Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
ELET6;ELETROBRAS;0,05;0,05;0,04;0,02;0,12;0,46;0,31;0,14;2,40;1,40;21,90;0,85;2,72;11,64;22,69;8,74;-0,76;0,36;3,10;12,84;9,58;3,99;33,32;17,09;0,52;0,10
MGLU3;MAGAZ LUIZA;0,01;0,01;-0,02;-0,01;-0,01;0,29;0,01;1,05;3,19;2,19;-30,15;0,64;0,19;2,10;2,21;20,72;-0,35;0,20;1,79;30,24;6,44;0,28;3,22;3,06;0,30;0,00
GOAU3;GERDAU MET;0,10;0,20;0,10;0,02;0,03;0,14;0,12;0,86;4,41;3,41;6,09;0,56;0,16;1,12;1,86;1,39;-0,25;0,13;0,51;2,40;1,70;0,28;3,22;1,94;0,22;0,12
BLAU3;BLAU;0,11;0,10;0,12;0,09;0,14;0,33;0,20;0,63;1,52;0,52;12,46;1,32;1,71;11,33;21,50;8,60;40,41;0,87;2,40;10,33;8,93;2,05;25,81;13,60;1,04;0,02
VTRU3;VITRUEDUCA;0,41;0,07;0,02;0,01;0,02;0,66;0,22;0,35;2,79;1,79;30,04;0,55;0,63;5,39;6,93;2,89;-0,28;0,20;-3,48;9,41;6,37;2,04;22,54;17,53;0,65;0,00
GOAU4;GERDAU MET;0,10;0,20;0,10;0,02;0,03;0,14;0,12;0,86;4,41;3,41;6,12;0,57;0,16;1,13;1,87;1,39;-0,25;0,13;0,51;2,40;1,70;0,28;3,22;1,94;0,22;0,12
ODPV3;ODONTOPREV;0,01;0,01;0,39;0,25;0,24;0,31;0,00;1,06;1,92;0,92;11,09;4,72;2,62;13,32;13,64;538,46;-4,32;2,45;-27,83;537,34;94,11;2,62;13,62;13,30;2,45;0,11
HAPV3;HAPVIDA;0,05;0,01;-0,01;-0,01;-0,02;0,11;0,04;0,36;1,52;0,52;-51,10;0,58;1,03;10,19;10,61;23,87;-1,24;0,38;9,91;33,52;23,89;1,44;14,90;14,31;0,53;0,00
ABEV3;AMBEV S/A;0,32;0,17;0,17;0,11;0,18;0,51;0,24;0,60;1,51;0,51;14,08;2,13;2,51;7,81;9,87;10,52;-4,56;1,41;54,80;9,97;7,55;2,38;9,35;7,40;1,34;0,06
RECV3;PETRORECSA;0,09;0,10;0,13;0,09;0,19;0,34;0,25;0,44;1,79;0,79;8,88;1,17;1,71;2,91;7,90;6,91;-2,11;0,65;4,90;9,17;4,79;2,27;10,49;3,87;0,87;0,11
BRAV3;BRAVA;0,16;0,12;-0,05;-0,02;-0,03;0,31;0,25;0,47;4,40;3,40;-28,64;1,65;0,93;3,82;10,15;3,70;-0,52;0,38;7,36;8,04;5,70;2,02;22,08;8,31;0,82;0,02
LAVV3;LAVVI;0,11;0,14;0,22;0,13;0,26;0,33;0,26;0,51;1,93;0,93;6,01;1,19;1,58;-4,76;-4,66;6,13;3,04;0,62;0,90;7,85;7,81;2,02;-5,96;-6,10;0,79;0,08
ENEV3;ENEVA;0,05;0,06;0,05;0,01;0,07;0,38;0,28;0,21;2,97;1,97;40,78;1,71;2,83;7,12;26,00;9,93;-0,89;0,58;37,78;17,04;10,75;4,85;44,59;12,21;0,99;0,00
SHOW3;TIME FOR FUN;0,14;0,13;0,00;0,00;0,00;0,14;0,07;0,60;2,73;1,73;2615,61;0,40;0,13;1,97;2,14;1,97;-0,25;0,15;2,39;1,81;1,58;0,12;1,97;1,81;0,13;0,00
RNEW4;RENOVA;0,06;0,08;0,03;0,01;0,14;0,69;1,09;0,08;3,35;2,35;10,53;0,36;1,52;4,63;6,63;1,39;-0,13;0,11;-0,91;6,04;4,19;6,60;28,76;20,08;0,46;0,00
TUPY3;TUPY;0,10;0,11;0,14;0,04;0,04;0,18;0,08;1,12;3,18;2,18;7,75;0,93;0,31;2,56;4,54;3,92;-0,79;0,29;0,93;6,62;4,66;0,53;7,67;4,33;0,49;0,03
FLRY3;FLEURY;0,17;0,08;0,12;0,05;0,08;0,28;0,16;0,65;2,39;1,39;13,67;1,52;1,09;4,76;6,22;7,03;-1,61;0,64;3,41;11,47;6,93;1,78;10,15;7,77;1,04;0,05
CURY3;CURY S/A;0,28;0,51;0,60;0,21;0,17;0,38;0,21;1,20;4,36;3,36;11,58;7,38;1,98;12,77;13,55;9,62;-4,37;1,69;4,41;9,90;9,52;2,04;13,94;13,13;1,74;0,07
PETZ3;PETZ;0,03;0,04;0,00;0,00;0,00;0,46;0,03;0,81;2,17;1,17;-465,70;1,27;0,72;5,39;10,15;22,06;-1,57;0,58;3,51;25,96;6,18;0,84;11,95;6,35;0,69;0,00
RAIZ4;RAIZEN;0,08;0,09;0,04;0,01;0,00;0,07;0,04;2,05;6,14;5,14;32,83;1,36;0,13;1,63;3,45;3,66;-0,28;0,22;6,74;9,16;4,34;0,33;8,64;4,09;0,56;0,06
